guide_id,listing_id,board,pin_title,pin_description,destination_url,image_path
new-14,4477713613,Sleep and Stress Reset,Self Care: The Caffeine and Sleep Trap - Breaking the Cycle on Shift Work,"Self Care printable worksheet and conversation guide for personal growth. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, self care.",https://www.etsy.com/listing/4477713613?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/new-14/image-1.png
split-04,4477719296,Sleep and Stress Reset,Lying Awake Spiraling: What to Do When Anxiety Takes Over at Night,"Anxiety printable worksheet and conversation guide for rumination. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, anxiety.",https://www.etsy.com/listing/4477719296?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-04/image-1.png
split-09,4477712981,Sleep and Stress Reset,Sleep: Waking Up From Nightmares - Getting Through the Rest of the Night,"Sleep printable worksheet and conversation guide for nightmares. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, sleep.",https://www.etsy.com/listing/4477712981?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-09/image-1.png
split-10,4477719424,Sleep and Stress Reset,Sleep: Waking Up at 3am Every Night - How to Break the Cycle,"Sleep printable worksheet and conversation guide for nightmares. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, sleep.",https://www.etsy.com/listing/4477719424?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-10/image-1.png
split-11,4477719448,Sleep and Stress Reset,When Chronic Pain Flares: How to Get Through the Day,"Pain printable worksheet and conversation guide for tension. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, pain.",https://www.etsy.com/listing/4477719448?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-11/image-1.png
split-12,4477719466,Sleep and Stress Reset,Pain: Body Locked Up With Tension - How to Actually Release It,"Pain printable worksheet and conversation guide for tension. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, pain.",https://www.etsy.com/listing/4477719466?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-12/image-1.png
split-13,4477713065,Sleep and Stress Reset,TBI and Brain Fog: How to Function on the Hard Days,"Tbi printable worksheet and conversation guide for headache. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, tbi.",https://www.etsy.com/listing/4477713065?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-13/image-1.png
split-14,4477713079,Sleep and Stress Reset,Tbi: Headaches That Won't Quit - How to Keep Functioning,"Tbi printable worksheet and conversation guide for headache. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, tbi.",https://www.etsy.com/listing/4477713079?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-14/image-1.png
split-15,4477713103,Sleep and Stress Reset,Substances: Drinking to Cope - How to Interrupt the Numbing Pattern,"Substances printable worksheet and conversation guide for numbing. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, substances.",https://www.etsy.com/listing/4477713103?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-15/image-1.png
split-16,4477713131,Sleep and Stress Reset,Substances: Relying on Medication to Cope - How to Interrupt the Cycle,"Substances printable worksheet and conversation guide for numbing. Instant download you can use today. Use this printable guide to start hard conversations with less panic and more clarity. Keywords: printable worksheet, conversation guide, instant download, substances.",https://www.etsy.com/listing/4477713131?utm_source=pinterest&utm_medium=organic&utm_campaign=etsy_growth_q2,output/etsy/listing-images/split-16/image-1.png
